"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.267,-0.0018667,-0.01,0.66113,0.011017,0
0.268,-0.0018667,-0.01,0.66276,0.0034636,0
0.269,-0.0018667,-0.01,0.66762,-0.0038254,0
0.27,-0.0018667,-0.01,0.67324,-0.0092475,0
0.271,-0.0018667,-0.01,0.67778,-0.011798,0
0.272,-0.0018667,-0.01,0.68041,-0.011097,0
0.273,-0.0018667,-0.01,0.68123,-0.0072756,0
0.274,-0.0018667,-0.01,0.68124,-0.0011447,0
0.275,-0.0018667,-0.01,0.68157,0.0058635,0
0.276,-0.0018667,-0.01,0.68276,0.012153,0
0.277,-0.0018667,-0.01,0.68477,0.016478,0
0.278,-0.0018667,-0.01,0.68722,0.018171,0
0.279,-0.0018667,-0.01,0.68973,0.017232,0
0.28,-0.0018667,-0.01,0.69189,0.01415,0
0.281,-0.0018667,-0.01,0.69333,0.0097875,0
0.282,-0.0018667,-0.01,0.69397,0.0050773,0
0.283,-0.0018667,-0.01,0.69399,0.00064206,0
0.284,-0.0018667,-0.01,0.69361,-0.0030501,0
0.285,-0.0018667,-0.01,0.69303,-0.0057351,0
0.286,-0.0018667,-0.01,0.69249,-0.0076048,0
0.287,-0.0018667,-0.01,0.69202,-0.0088243,0
0.288,-0.0018667,-0.01,0.69145,-0.0093658,0
0.289,-0.0018667,-0.01,0.69081,-0.0094137,0
0.29,-0.0018667,-0.01,0.69007,-0.0091312,0
0.291,-0.0018667,-0.01,0.68916,-0.0085621,0
0.292,-0.0018667,-0.01,0.68815,-0.0077839,0
0.293,-0.0018667,-0.01,0.6871,-0.0068279,0
0.294,-0.0018667,-0.01,0.68611,-0.0057677,0
0.295,-0.0018667,-0.01,0.6853,-0.0047384,0
0.296,-0.0018667,-0.01,0.68465,-0.0037655,0
0.297,-0.0018667,-0.01,0.68418,-0.002877,0
0.298,-0.0018667,-0.01,0.68395,-0.002168,0
0.299,-0.0018667,-0.01,0.6839,-0.0015804,0
0.3,-0.0018667,-0.01,0.684,-0.0010279,0
0.301,-0.0018667,-0.01,0.68431,-0.00053268,0
0.302,-0.0018667,-0.01,0.68482,-8.404e-05,0
0.303,-0.0018667,-0.01,0.68549,0.000344,0
0.304,-0.0018667,-0.01,0.68631,0.00072153,0
0.305,-0.0018667,-0.01,0.68726,0.0010161,0
0.306,-0.0018667,-0.01,0.68829,0.0012481,0
0.307,-0.0018667,-0.01,0.68935,0.0014346,0
0.308,-0.0018667,-0.01,0.69045,0.001565,0
0.309,-0.0018667,-0.01,0.69158,0.0016541,0
0.31,-0.0018667,-0.01,0.69269,0.0017155,0
0.311,-0.0018667,-0.01,0.69382,0.0017461,0
0.312,-0.0018667,-0.01,0.69493,0.0017566,0
0.313,-0.0018667,-0.01,0.69602,0.0017607,0
0.314,-0.0018667,-0.01,0.69709,0.0017604,0
0.315,-0.0018667,-0.01,0.69815,0.0017532,0
0.316,-0.0018667,-0.01,0.69917,0.0017399,0
0.317,-0.0018667,-0.01,0.70015,0.0017199,0
0.318,-0.0018667,-0.01,0.7011,0.0016905,0
0.319,-0.0018667,-0.01,0.702,0.00165,0
0.32,-0.0018667,-0.01,0.70285,0.0016002,0
0.321,-0.0018667,-0.01,0.70366,0.0015461,0
0.322,-0.0018667,-0.01,0.70443,0.0014915,0
0.323,-0.0018667,-0.01,0.70516,0.0014349,0
0.324,-0.0018667,-0.01,0.70586,0.0013739,0
0.325,-0.0018667,-0.01,0.70653,0.0013085,0
0.326,-0.0018667,-0.01,0.70717,0.0012397,0
0.327,-0.0018667,-0.01,0.70776,0.001172,0
0.328,-0.0018667,-0.01,0.70832,0.0011113,0
0.329,-0.0018667,-0.01,0.70885,0.0010559,0
0.33,-0.0018667,-0.01,0.70935,0.0010005,0
0.331,-0.0018667,-0.01,0.70981,0.00094185,0
0.332,-0.0018667,-0.01,0.71025,0.0008787,0
0.333,-0.0018667,-0.01,0.71065,0.00081242,0
0.334,-0.0018667,-0.01,0.71102,0.00074675,0
0.335,-0.0018667,-0.01,0.71136,0.00068286,0
0.336,-0.0018667,-0.01,0.71167,0.00061715,0
0.337,-0.0018667,-0.01,0.71196,0.00054601,0
0.338,-0.0018667,-0.01,0.71222,0.00046891,0
0.339,-0.0018667,-0.01,0.71245,0.000388,0
0.34,-0.0018667,-0.01,0.71265,0.00030676,0
0.341,-0.0018667,-0.01,0.71281,0.00022563,0
0.342,-0.0018667,-0.01,0.71296,0.00014053,0
0.343,-0.0018667,-0.01,0.71307,4.5375e-05,0
0.344,-0.0018667,-0.01,0.71314,-6.9976e-05,0
0.345,-0.0018667,-0.01,0.71316,-0.0002227,0
0.346,-0.0018667,-0.01,0.71311,-0.00042615,0
0.347,-0.0018667,-0.01,0.71296,-0.0007048,0
0.348,-0.0018667,-0.01,0.71271,-0.0011136,0
0.349,-0.0018667,-0.01,0.7122,-0.0016661,0
0.35,-0.0018667,-0.01,0.71145,-0.0024629,0
0.351,-0.0018667,-0.01,0.71069,-0.0036208,0
0.352,-0.0018667,-0.01,0.70815,-0.0046123,0
0.353,-0.0018667,-0.01,0.70672,-0.0061366,0
